Pref. (White asc.),Pref. (White desc.),Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Race,Political aff.,Education,Income
,,Option C,,It's only fair that each group gets funding proportional to its population,1991.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999"
,,Option B,,It was the option that avoided more people out of jail. ,1994.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$80,000 to $89,999"
,,Option C,,I think it should always be even when we do things.,1988.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$10,000 to $19,999"
,,,Option D,I would want to help most people avoid jail regardless of their race.,1962.0,Man,White or Caucasian,Democrat,Associates or technical degree,"$20,000 to $29,999"
,,,Option A,They need it more,1990.0,Man,Black or African American,Independent,Bachelor’s degree,"$150,000 or more"
,,Option B,,Highest number of people avoiding jail,1959.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$70,000 to $79,999"
,,,Option C,I feel that the funds should be distributed equally among the groups.,1959.0,Woman,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$80,000 to $89,999"
,,Option C,,"It's fair. The priority should be being fair to all, and the next priority should be prevention of jail time.",1990.0,Man,Asian,Democrat,"Some college, but no degree","$90,000 to $99,999"
,,,Option C,I wanted to help the most people avoid jail but that would result in blacks- 30% which is unfair so I did a 50-50 split. ,1989.0,Man,White or Caucasian,Democrat,"Some college, but no degree","Less than $10,000"
,,Option D,,I want to level the playing field for black people who have been unfairly and systematically disenfranchised by the justice system.,1987.0,Man,Asian,Democrat,"Some college, but no degree","$50,000 to $59,999"
,,Option D,,"I believe that resources, especially free resources provided by a government entity, should be distributed on the basis of equity. Black people live farther from the court, so more of them probably need help. I don't want to choose Option E, as some white people probably need help too.",2003.0,Man,Asian,Democrat,"Some college, but no degree","$100,000 to $149,999"
,,,Option C,"Tough choice between C and D, I chose C since it kept the second most people out of jail while matching the city's racial demographics",1994.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$100,000 to $149,999"
,,,Option B,"Because black residents have to pay more, that means they will be less likely to afford the ride, and need more assistance. The white residents are more likely to be able to get to the courthouse via cheaper methods. As well, the numbers of amount of people it helped avoid jail I feel wouldn't be correct in a realistic scenario, Option B felt like it would actually prevent more people going to jail in real life application.",1994.0,Woman,White or Caucasian,Independent,Associates or technical degree,"$30,000 to $39,999"
,,Option C,,"I really didn't understand the math here, so 50% seemed to make the most sense.",2000.0,Woman,White or Caucasian,Democrat,"Some college, but no degree","$100,000 to $149,999"
,,,Option B,Black people live further from the courthouse so need more money,1994.0,Woman,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,Option D,,I think more should be given to  the people who live farther away since they have a harder time getting there,1988.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$40,000 to $49,999"
,,,Option B,"Since it's more expensive for black people who live farther away, I think they should have a fair amount more funding and more people to go versus white people who are less costly. ",1975.0,Woman,White or Caucasian,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,Option C,,It is the most equal option.,1990.0,Woman,White or Caucasian,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
,,Option B,,It prevented the most jail time,1989.0,Man,White or Caucasian,Democrat,Bachelor’s degree,"$20,000 to $29,999"
,,Option B,,It helps the largest amount of people avoid jail time.,1990.0,Woman,White or Caucasian,Democrat,Bachelor’s degree,"$30,000 to $39,999"
