Unnamed: 0.1,Unnamed: 0,Pref. explanation,Birth year,Gender,Race,Political aff.,Education,Income,choice,efficiency.virtue,efficiency.vice,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.virtue,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,care.vice,Fairness,Loyalty,Authority,Sanctity,Care,Efficiency,word_count
0,0,It's only fair that each group gets funding proportional to its population,1991.0,Man,White or Caucasian,Independent,Bachelor’s degree,"$90,000 to $99,999",Option C,0,0,2,1,0,0,0,0,0,0,0,0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,12
1,1,It was the option that avoided more people out of jail. ,1994.0,Woman,White or Caucasian,Republican,Bachelor’s degree,"$80,000 to $89,999",Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,11
2,2,I think it should always be even when we do things.,1988.0,Man,White or Caucasian,Democrat,High school diploma or GED,"$10,000 to $19,999",Option C,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11
3,3,I would want to help most people avoid jail regardless of their race.,1962.0,Man,White or Caucasian,Democrat,Associates or technical degree,"$20,000 to $29,999",Option B,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,13
4,4,They need it more,1990.0,Man,Black or African American,Independent,Bachelor’s degree,"$150,000 or more",Option E,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,4
5,5,Highest number of people avoiding jail,1959.0,Woman,White or Caucasian,Independent,Bachelor’s degree,"$70,000 to $79,999",Option B,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,6
6,6,I feel that the funds should be distributed equally among the groups.,1959.0,Woman,White or Caucasian,Independent,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$80,000 to $89,999",Option C,0,0,1,3,0,0,0,0,0,0,0,0,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,12
7,7,"It's fair. The priority should be being fair to all, and the next priority should be prevention of jail time.",1990.0,Man,Asian,Democrat,"Some college, but no degree","$90,000 to $99,999",Option C,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,20
8,8,I wanted to help the most people avoid jail but that would result in blacks- 30% which is unfair so I did a 50-50 split. ,1989.0,Man,White or Caucasian,Democrat,"Some college, but no degree","Less than $10,000",Option C,1,0,1,0,0,0,1,1,0,0,0,0,0.08,0.0,0.0,0.0,0.04,0.04,25
9,9,I want to level the playing field for black people who have been unfairly and systematically disenfranchised by the justice system.,1987.0,Man,Asian,Democrat,"Some college, but no degree","$50,000 to $59,999",Option D,2,0,3,1,0,0,0,1,0,0,0,0,0.19047619047619047,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,21
10,10,"I believe that resources, especially free resources provided by a government entity, should be distributed on the basis of equity. Black people live farther from the court, so more of them probably need help. I don't want to choose Option E, as some white people probably need help too.",2003.0,Man,Asian,Democrat,"Some college, but no degree","$100,000 to $149,999",Option D,2,0,1,1,1,0,1,0,0,0,0,0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.04081632653061224,49
