StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_id,birth_year,gender,race,hispanic,attention_check_1,politics,education,care_1,fairness_1,loyalty_1,authority_1,purity_1,efficiency_1,null_1,care_2,fairness_2,loyalty_2,authority_2,purity_2,efficiency_2,care_3,fairness_3,loyalty_3,authority_3,purity_3,efficiency_3,care_4,fairness_4,loyalty_4,authority_4,purity_4,efficiency_4,null_2,care_5,fairness_5,loyalty_5,authority_5,purity_5,efficiency_5,care_6,fairness_6,loyalty_6,authority_6,purity_6,efficiency_6,rides_diversity,SAT_diversity,health_shareholders,profit_local,election_corporate
2023-07-16 21:25:26,2023-07-16 21:31:39,IP Address,174.199.37.117,100,372,True,2023-07-16 21:31:40,R_6JxI9xqhh7xg305,,,,,44.9691,-93.2843,anonymous,EN,5843e65e56019d0001f6a305,1985,Male,White or Caucasian,No,Option 3,Democrat,"Some college, but no degree",4,5,2,2,5,1,0,4,5,3,0,3,2,5,5,1,1,0,0,4,5,2,4,3,3,5,5,3,3,2,4,3,4,3,1,4,0,4,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 70%, Corporate control: 80%"
2023-07-16 21:30:27,2023-07-16 21:36:36,IP Address,24.47.56.146,100,369,True,2023-07-16 21:36:37,R_2zvGwlYLHmo1Cci,,,,,40.9451,-74.2531,anonymous,EN,64028f774862227b9a934247,1992,Male,Native American or Alaskan Native,No,Option 3,Other,"Some college, but no degree",5,5,0,1,4,0,0,4,4,4,0,3,3,5,5,5,2,0,0,4,5,0,0,3,3,5,5,4,1,5,1,2,3,5,1,0,3,0,"710 people avoid jail (50% Black, 50% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-16 21:30:16,2023-07-16 21:39:54,IP Address,68.96.126.78,100,577,True,2023-07-16 21:39:55,R_3MhTMp0wBeoZJOu,,,,,36.175,-115.1372,anonymous,EN,644c321554d454acf40f2fb4,1957,Female,White or Caucasian,No,Option 3,Independent,"Some college, but no degree",4,4,5,5,5,4,0,4,5,5,5,5,3,5,5,5,5,5,4,5,5,0,4,5,3,5,5,5,0,5,5,4,3,0,1,1,4,1,"710 people avoid jail (50% Black, 50% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $40,000, Money Paid to Local Producers: $1,250,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-16 21:19:34,2023-07-16 21:46:57,IP Address,98.235.229.143,100,1643,True,2023-07-16 21:46:58,R_4SLhMo8bsl3x9m1,,,,,40.3062,-76.8841,anonymous,EN,600dfcea91351167d0b65515,2001,Female,Black or African American,Yes,Option 3,Democrat,"Some college, but no degree",3,5,0,3,0,0,0,5,3,2,0,3,0,5,5,2,5,0,0,4,5,0,1,3,5,4,5,5,0,0,2,0,3,1,0,0,0,0,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 70%, Corporate control: 80%"
2023-07-16 21:29:44,2023-07-16 21:50:36,IP Address,70.173.101.181,100,1252,True,2023-07-16 21:50:37,R_ewyck2xlAoevaVz,,,,,36.1685,-115.1164,anonymous,EN,597fc38f9bf4fe00010704ba,1999,Female,Multiracial or Biracial,No,Option 3,Democrat,Associates or technical degree,3,4,0,3,1,2,0,3,5,5,2,4,1,4,5,4,3,0,2,3,4,0,2,3,5,4,5,3,1,1,3,0,3,5,4,4,0,3,"620 people avoid jail (70% Black, 30% White)","Avg. SAT: 1300, Diversity: 30% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $0, Money Paid to Local Producers: $1,500,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-16 22:13:52,2023-07-16 22:19:57,IP Address,169.231.170.77,100,365,True,2023-07-16 22:19:57,R_2uHvj7aCVKyg1l6,,,,,34.4265,-119.8631,anonymous,EN,,2006,Male,Asian and Pacific Island,No,Option 3,Republican,Some high school or less,2,2,4,1,5,4,4,4,4,4,5,1,4,4,5,5,4,4,4,2,4,5,5,3,2,4,1,4,4,5,3,2,0,5,1,5,1,4,"730 people avoid jail (30% Black, 70% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 80%, Corporate control: 100%"
2023-07-17 14:12:55,2023-07-17 14:17:14,IP Address,130.182.24.206,100,258,True,2023-07-17 14:17:15,R_1GQttOrhsQ6NB25,,,,,34.0526,-118.2122,anonymous,EN,,2005,Male,Asian and Pacific Island,No,Option 3,Democrat,High school diploma or GED,4,3,0,0,2,1,0,3,3,4,1,2,1,4,4,3,3,0,0,3,2,3,1,1,1,5,3,2,2,1,0,1,4,3,3,3,1,1,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:12:22,2023-07-17 14:17:20,IP Address,99.137.91.37,100,297,True,2023-07-17 14:17:21,R_vxauXSpMNGSlCSt,,,,,29.4247,-98.4621,anonymous,EN,,2006,Female,White or Caucasian,No,Option 3,Democrat,Some high school or less,4,3,1,0,1,0,0,3,3,4,0,3,0,4,4,4,2,0,1,4,3,0,0,3,4,5,3,3,3,2,3,2,4,3,1,2,0,2,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:07:40,2023-07-17 14:19:38,IP Address,169.231.155.196,100,717,True,2023-07-17 14:19:38,R_3ewMAVj9vQNxYcr,,,,,34.445,-119.8046,anonymous,EN,,2006,Male,Asian and Pacific Island,No,Option 3,Independent,Some high school or less,3,5,1,4,4,3,3,4,5,4,3,3,4,5,5,4,3,1,3,3,5,3,4,4,2,5,4,4,2,1,2,3,1,2,4,3,1,2,"520 people avoid jail (90% Black, 10% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Shareholder Payout: $100 million, Number of People Who Receive Affordable Care: 5,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:11:20,2023-07-17 14:19:54,IP Address,74.81.231.115,100,514,True,2023-07-17 14:19:55,R_1GTgiH6y7hbDup5,,,,,40.5068,-111.4801,anonymous,EN,,1979,Female,White or Caucasian,No,Option 3,Democrat,"Graduate or Professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3,4,1,1,2,3,0,4,4,3,1,2,3,4,4,1,3,0,1,3,2,1,1,0,3,4,4,3,1,1,1,1,5,3,1,1,0,2,"620 people avoid jail (70% Black, 30% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:18:35,2023-07-17 14:24:47,IP Address,169.231.222.190,100,371,True,2023-07-17 14:24:47,R_3iUrMmVZmDrvEFs,,,,,34.4265,-119.8631,anonymous,EN,,2006,Female,Asian and Pacific Island,No,Option 3,Independent,Some high school or less,4,5,3,5,5,5,1,4,5,5,5,5,5,5,5,5,5,3,5,3,5,0,4,5,3,5,5,4,5,3,3,4,5,1,3,4,4,3,"520 people avoid jail (90% Black, 10% White)","Avg. SAT: 1300, Diversity: 30% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:17:27,2023-07-17 14:24:51,IP Address,174.243.145.97,100,444,True,2023-07-17 14:24:52,R_OKheHj4LDSX6eOJ,,,,,34.0447,-118.2946,anonymous,EN,,2005,Female,White or Caucasian,No,Option 3,Republican,High school diploma or GED,5,5,5,5,4,5,2,3,4,4,3,1,3,5,5,4,5,4,1,3,3,3,3,2,2,5,5,4,4,5,3,3,4,3,4,4,1,3,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $80 million, Care: 15,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:17:13,2023-07-17 14:24:53,IP Address,174.193.131.81,100,459,True,2023-07-17 14:24:53,R_1l5iufty7Jljr5w,,,,,34.0447,-118.2946,anonymous,EN,,2006,Female,Hispanic or Latino,Yes,Option 3,Independent,Some high school or less,4,4,3,3,0,3,0,5,3,4,1,2,3,4,3,5,5,0,4,5,5,2,3,3,3,5,5,4,3,3,3,3,2,2,2,2,0,1,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1300, Diversity: 30% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $40,000, Money Paid to Local Producers: $1,250,000","Chance of winning: 70%, Corporate control: 80%"
2023-07-17 14:16:13,2023-07-17 14:25:10,IP Address,74.81.231.115,100,536,True,2023-07-17 14:25:10,R_0enITqOAeqa6jDj,,,,,40.5068,-111.4801,anonymous,EN,,1955,Female,White or Caucasian,No,Option 3,Independent,"Graduate or Professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",4,4,4,4,5,4,3,4,4,4,2,4,4,4,4,4,3,4,4,3,3,3,4,3,2,4,1,3,1,4,3,1,3,1,1,3,3,3,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $40,000, Money Paid to Local Producers: $1,250,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:15:40,2023-07-17 14:25:27,IP Address,75.1.206.47,100,586,True,2023-07-17 14:25:28,R_1FqS43q1mj7vL4F,,,,,29.4227,-98.4927,anonymous,EN,,2008,Female,White or Caucasian,No,Option 3,Other,Some high school or less,5,4,5,5,5,5,0,5,5,5,5,4,1,5,5,5,5,5,5,4,5,1,4,5,5,5,5,4,1,0,0,3,4,2,0,2,2,0,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $40,000, Money Paid to Local Producers: $1,250,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:14:46,2023-07-17 14:27:06,IP Address,136.50.208.174,100,739,True,2023-07-17 14:27:06,R_z20wN85p1ean1aF,,,,,29.4227,-98.4927,anonymous,EN,,2007,Female,White or Caucasian,No,Option 3,Democrat,Some high school or less,4,4,1,2,5,2,0,3,4,3,2,3,3,4,4,3,3,1,3,4,4,2,3,2,2,4,4,4,0,1,2,4,4,3,2,3,0,2,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1370, Diversity: 20% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 60%, Corporate control: 60%"
2023-07-17 14:19:35,2023-07-17 14:28:09,IP Address,107.115.41.57,100,514,True,2023-07-17 14:28:10,R_5zkypReYzaDXMnn,,,,,36.2115,-115.0365,anonymous,EN,,2005,Male,White or Caucasian,No,Option 3,Democrat,Some high school or less,4,4,1,2,2,1,0,5,4,4,2,1,1,5,5,5,4,0,1,5,4,2,4,1,3,5,1,5,5,3,0,1,1,3,1,4,0,2,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $60 million, Care: 20,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:14:49,2023-07-17 14:29:55,IP Address,74.81.231.115,100,905,True,2023-07-17 14:29:56,R_C9v74gx8bdjqE1z,,,,,40.5068,-111.4801,anonymous,EN,,2008,Male,White or Caucasian,No,Option 3,Other,Some high school or less,4,5,0,5,3,5,0,3,5,3,0,0,0,4,5,3,3,0,1,3,5,0,1,0,3,5,2,5,3,0,0,1,5,2,2,2,0,0,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:13:34,2023-07-17 14:30:35,IP Address,74.81.231.115,100,1020,True,2023-07-17 14:30:36,R_22Ll5FEmFdc41mQ,,,,,40.5068,-111.4801,anonymous,EN,,1055,Male,White or Caucasian,No,Option 3,Republican,Bachelor's degree,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,2,1,1,2,2,2,"710 people avoid jail (50% Black, 50% White)","Avg. SAT: 1390, Diversity: 15% underrepresented minority students","Payout: $80 million, Care: 15,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:10:53,2023-07-17 14:34:53,IP Address,107.127.0.20,100,1440,True,2023-07-17 14:34:54,R_tGppBOcdpq3BNKh,,,,,29.3959,-98.4761,anonymous,EN,,2006,Prefer not to say,White or Caucasian,No,Option 3,Other,Some high school or less,4,4,1,3,5,4,0,4,4,3,3,3,4,5,5,4,4,2,2,5,4,1,3,4,4,5,5,4,1,1,3,0,1,4,2,1,0,1,"710 people avoid jail (50% Black, 50% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $0, Care: 35,000","Quarterly Profit: $60,000, Money Paid to Local Producers: $1,000,000","Chance of winning: 40%, Corporate control: 0%"
2023-07-17 14:21:44,2023-07-17 14:40:42,IP Address,67.209.48.108,100,1138,True,2023-07-17 14:40:43,R_2fkZ5IDOPjbABkK,,,,,34.1449,-118.3887,anonymous,EN,,2008,Male,Asian and Pacific Island,No,Option 3,Other,Some high school or less,5,5,2,3,5,4,1,4,3,4,1,3,2,5,5,4,4,0,1,2,4,0,4,5,2,5,3,2,5,3,2,1,1,3,5,3,1,4,"620 people avoid jail (70% Black, 30% White)","Avg. SAT: 1340, Diversity: 25% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $100,000, Money Paid to Local Producers: $500,000","Chance of winning: 50%, Corporate control: 40%"
2023-07-17 14:23:37,2023-07-17 14:41:11,IP Address,172.56.168.76,100,1054,True,2023-07-17 14:41:11,R_31TvkW5cqeludVu,,,,,38.581,-121.4939,anonymous,EN,,5/29/2009,Male,Asian and Pacific Island,No,Option 3,Democrat,Some high school or less,2,4,1,3,5,3,1,3,4,4,4,4,3,5,5,3,4,0,2,3,5,2,3,4,3,5,5,5,0,0,2,1,3,4,2,4,1,1,"710 people avoid jail (50% Black, 50% White)","Average SAT Score: 1400, Diversity Measure: 10% underrepresented minority students","Payout: $40 million, Care: 25,000","Quarterly Profit: $80,000, Money Paid to Local Producers: $750,000","Chance of winning: 40%, Corporate control: 0%"
